"Guid","Name","SBQQ__Alignment__c","SBQQ__BottomMargin__c","SBQQ__ColumnHeadingField__c","SBQQ__ConditionalPrintField__c","SBQQ__DisplayOrder__c","SBQQ__DynamicNumberScale__c","SBQQ__FieldName__c","SBQQ__FontFamily__c","SBQQ__FontSize__c","SBQQ__FontWeight__c","SBQQ__HeadingTextColor__c","SBQQ__HideOnComponents__c","SBQQ__LeftMargin__c","SBQQ__RightMargin__c","SBQQ__RollUp__c","SBQQ__Section__c","SBQQ__SeparateLine__c","SBQQ__SubGroupSummaryLabel__c","SBQQ__SummaryFontWeight__c","SBQQ__SummaryFunction__c","SBQQ__SummaryLabel__c","SBQQ__SummaryLevel__c","SBQQ__SummaryShadingColor__c","SBQQ__SummaryTextColor__c","SBQQ__Template__c","SBQQ__TextColor__c","SBQQ__TopMargin__c","SBQQ__WidthDiscardedWhenHidden__c","SBQQ__Width__c"
06925b1f-695c-4bd7-96b9-87d84029baf1,EXTENDED,Right,"#N/A","#N/A",Print_Line_Item_Prices__c,60.0,false,SBQQ__NetTotal__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",c8092412-c1ea-47b0-a586-3be5f3532f2d,"#N/A","#N/A",false,15.0
0d23a513-91f7-44da-b592-59ee0bf9df70,PART#,Left,"#N/A","#N/A","#N/A",20.0,false,SBQQ__ProductCode__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",c8092412-c1ea-47b0-a586-3be5f3532f2d,"#N/A","#N/A",false,10.0
14fa6c58-75ae-49d5-bb46-908951df869f,PART#,Left,"#N/A","#N/A","#N/A",20.0,false,SBQQ__ProductCode__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",8de676ab-3e9f-408f-8e15-5d25d37f0744,"#N/A","#N/A",false,10.0
30ff924c-a7b7-4c64-a032-e0ac8e5de1f2,QTY,Center,"#N/A","#N/A","#N/A",10.0,false,SBQQ__Quantity__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",c8092412-c1ea-47b0-a586-3be5f3532f2d,"#N/A","#N/A",false,5.0
4435138d-7bdc-4899-be26-9c5bda2b8e23,DESCRIPTION,Left,"#N/A","#N/A",Print_Descriptions__c,30.0,false,SBQQ__Description__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",8de676ab-3e9f-408f-8e15-5d25d37f0744,"#N/A","#N/A",true,50.0
5d56c56d-aaa8-4e1d-a577-9fb06b2d83b8,DESCRIPTION,Left,"#N/A","#N/A",Print_Descriptions__c,30.0,false,SBQQ__Description__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",2ea995d9-b3b7-4535-a9ab-e3dc873557cb,"#N/A","#N/A",true,50.0
5fddda9c-034f-435e-bfc6-a7133415f32a,UNIT PRICE,Right,"#N/A","#N/A",Print_List_Prices__c,40.0,false,SBQQ__ListPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",8de676ab-3e9f-408f-8e15-5d25d37f0744,"#N/A","#N/A",false,10.0
753e48db-67d5-479b-a866-ad76e0acf614,QTY,Center,"#N/A","#N/A","#N/A",10.0,false,SBQQ__Quantity__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",8de676ab-3e9f-408f-8e15-5d25d37f0744,"#N/A","#N/A",false,5.0
79cac63f-cd05-4aa3-b763-c4c1fdf74e29,DESCRIPTION,Left,"#N/A","#N/A",Print_Descriptions__c,31.0,false,SBQQ__Description__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",c8092412-c1ea-47b0-a586-3be5f3532f2d,"#N/A","#N/A",false,30.0
8bd77fd3-9970-495a-8d9c-ed5964aaf32b,NAME,Left,"#N/A","#N/A",Print_Names__c,30.0,false,SBQQ__ProductName__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",8de676ab-3e9f-408f-8e15-5d25d37f0744,"#N/A","#N/A",true,50.0
9924ab3b-4a4a-44b1-b90f-f55e726391b5,DISC (%),Right,"#N/A","#N/A",Print_Discounts__c,50.0,false,SBQQ__TotalDiscountRate__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",c8092412-c1ea-47b0-a586-3be5f3532f2d,"#N/A","#N/A",false,10.0
abd08f44-9ec4-482a-8c65-caae2e6dffe1,DISC (%),Right,"#N/A","#N/A",Print_Discounts__c,50.0,false,SBQQ__Discount__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",8de676ab-3e9f-408f-8e15-5d25d37f0744,"#N/A","#N/A",false,10.0
ae3d7242-61c4-44c9-859e-9f080b0426a9,EXTENDED,Right,"#N/A","#N/A",Print_Line_Item_Prices__c,60.0,false,SBQQ__NetTotal__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",8de676ab-3e9f-408f-8e15-5d25d37f0744,"#N/A","#N/A",false,15.0
bcae4a4c-52fe-4f5a-927f-6e5b3eb42aaa,DISC (%),Right,"#N/A","#N/A",Print_Discounts__c,50.0,false,SBQQ__Discount__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",2ea995d9-b3b7-4535-a9ab-e3dc873557cb,"#N/A","#N/A",false,10.0
c849b2f2-6ae2-4150-ae2c-8d51d02600a9,NAME,Left,"#N/A","#N/A",Print_Names__c,30.0,false,SBQQ__ProductName__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",2ea995d9-b3b7-4535-a9ab-e3dc873557cb,"#N/A","#N/A",true,50.0
e0e0933c-3794-4764-a2a8-3889ffb137f2,UNIT PRICE,Right,"#N/A","#N/A",Print_List_Prices__c,40.0,false,SBQQ__ListPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",2ea995d9-b3b7-4535-a9ab-e3dc873557cb,"#N/A","#N/A",false,10.0
e2e006fd-49b0-4a3b-99d0-804113008f4a,UNIT PRICE,Right,"#N/A","#N/A",Print_List_Prices__c,40.0,false,SBQQ__ListPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",c8092412-c1ea-47b0-a586-3be5f3532f2d,"#N/A","#N/A",false,10.0
e928d31f-39d9-49bd-a148-33aeffc526ee,PART#,Left,"#N/A","#N/A","#N/A",20.0,false,SBQQ__ProductCode__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",2ea995d9-b3b7-4535-a9ab-e3dc873557cb,"#N/A","#N/A",false,10.0
e978c08e-3e8c-4788-a56e-9c54d9f173d7,EXTENDED,Right,"#N/A","#N/A",Print_Line_Item_Prices__c,60.0,false,SBQQ__NetTotal__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",2ea995d9-b3b7-4535-a9ab-e3dc873557cb,"#N/A","#N/A",false,15.0
ebe75abe-1335-4349-a82c-fb9244ed1083,NAME,Left,"#N/A","#N/A",Print_Names__c,30.0,false,SBQQ__ProductName__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",c8092412-c1ea-47b0-a586-3be5f3532f2d,"#N/A","#N/A",false,20.0
f84c52f4-b732-432c-a24c-e8a3c7ed1805,QTY,Center,"#N/A","#N/A","#N/A",10.0,false,SBQQ__Quantity__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",2ea995d9-b3b7-4535-a9ab-e3dc873557cb,"#N/A","#N/A",false,5.0
